nom1;nom2;nom3;nom4;code_postal;longitude;latitude
forest-l-abbaye;FOREST-L'ABBAYE;forest l abbaye;Forest-l'Abbaye;80150;1.81667;50.2
verpillieres;VERPILLIERES;verpillieres;Verpillières;80700;2.81667;49.6667
coisy;COISY;coisy;Coisy;80260;2.33333;49.95
fienvillers;FIENVILLERS;fienvillers;Fienvillers;80750;2.23333;50.1167
rubempre;RUBEMPRE;rubempre;Rubempré;80260;2.38333;50.0167
chaussoy-epagny;CHAUSSOY-EPAGNY;chaussoy epagny;Chaussoy-Epagny;80250;2.33333;49.7333
ovillers-la-boisselle;OVILLERS-LA-BOISSELLE;ovillers la boisselle;Ovillers-la-Boisselle;80300;2.69778;50.0314
aigneville;AIGNEVILLE;aigneville;Aigneville;80210;1.61667;50.0333
saint-aubin-montenoy;SAINT-AUBIN-MONTENOY;saint aubin montenoy;Saint-Aubin-Montenoy;80540;1.98333;49.85
hallencourt;HALLENCOURT;hallencourt;Hallencourt;80490;1.88333;49.9833
domvast;DOMVAST;domvast;Domvast;80150;1.91667;50.2
cardonnois;LE CARDONNOIS;le cardonnois;Le Cardonnois;80500;2.48333;49.6333
bethencourt-sur-somme;BETHENCOURT-SUR-SOMME;bethencourt sur somme;Béthencourt-sur-Somme;80190;2.96667;49.8
etoile-80;L'ETOILE;l etoile;L'Étoile;80830;2.03333;50.0333
nesle;NESLE;nesle;Nesle;80190;2.91667;49.7667
montdidier-80;MONTDIDIER;montdidier;Montdidier;80500;2.56667;49.65
bettencourt-saint-ouen;BETTENCOURT-SAINT-OUEN;bettencourt saint ouen;Bettencourt-Saint-Ouen;80610;2.11667;50.0167
laucourt;LAUCOURT;laucourt;Laucourt;80700;2.76667;49.6667
fontaine-sur-somme;FONTAINE-SUR-SOMME;fontaine sur somme;Fontaine-sur-Somme;80510;1.93333;50.0333
picquigny;PICQUIGNY;picquigny;Picquigny;80310;2.15;49.95
tincourt-boucly;TINCOURT-BOUCLY;tincourt boucly;Tincourt-Boucly;80240;03.05;49.9333
eclusier-vaux;ECLUSIER-VAUX;eclusier vaux;Éclusier-Vaux;80340;2.78333;49.9333
ercheu;ERCHEU;ercheu;Ercheu;80930;2.93333;49.7
querrieu;QUERRIEU;querrieu;Querrieu;80115;2.41667;49.9333
grecourt;GRECOURT;grecourt;Grécourt;80400;2.98333;49.7167
heucourt-croquoison;HEUCOURT-CROQUOISON;heucourt croquoison;Heucourt-Croquoison;80270;1.85;49.9333
gamaches;GAMACHES;gamaches;Gamaches;80220;1.55;49.9833
omiecourt;OMIECOURT;omiecourt;Omiécourt;80320;2.83333;49.8
brassy-80;BRASSY;brassy;Brassy;80160;02.05;49.7333
herleville;HERLEVILLE;herleville;Herleville;80340;2.75;49.85
harbonnieres;HARBONNIERES;harbonnieres;Harbonnières;80131;2.66667;49.85
roye-80;ROYE;roye;Roye;80700;2.8;49.7
courcelles-sous-thoix;COURCELLES-SOUS-THOIX;courcelles sous thoix;Courcelles-sous-Thoix;80160;2.08333;49.7167
hancourt;HANCOURT;hancourt;Hancourt;80240;3.06667;49.9
cremery;CREMERY;cremery;Crémery;80700;2.83333;49.75
buire-courcelles;BUIRE-COURCELLES;buire courcelles;Buire-Courcelles;80200;3.01667;49.9333
villers-campsart;VILLERS-CAMPSART;villers campsart;Villers-Campsart;80140;1.83333;49.8667
marquivillers;MARQUIVILLERS;marquivillers;Marquivillers;80700;2.7;49.6667
carrepuis;CARREPUIS;carrepuis;Carrépuis;80700;2.83333;49.7
bussy-les-daours;BUSSY-LES-DAOURS;bussy les daours;Bussy-lès-Daours;80800;2.43333;49.9167
hornoy-le-bourg;HORNOY-LE-BOURG;hornoy le bourg;Hornoy-le-Bourg;80640;1.90139;49.8456
licourt;LICOURT;licourt;Licourt;80320;2.88333;49.8
faverolles-80;FAVEROLLES;faverolles;Faverolles;80500;2.62056;49.6487
thennes;THENNES;thennes;Thennes;80110;2.46667;49.8
mereaucourt;MEREAUCOURT;mereaucourt;Méréaucourt;80290;1.93417;49.7292
salouel;SALOUEL;salouel;Salouël;80480;2.25;49.8667
rancourt-80;RANCOURT;rancourt;Rancourt;80360;2.91667;50
loeuilly;LOEUILLY;loeuilly;Lœuilly;80160;2.16667;49.7833
eterpigny-80;ETERPIGNY;eterpigny;Éterpigny;80200;2.91667;49.8833
mazis;LE MAZIS;le mazis;Le Mazis;80430;1.76667;49.8833
puchevillers;PUCHEVILLERS;puchevillers;Puchevillers;80560;2.41667;50.05
moyencourt-les-poix;MOYENCOURT-LES-POIX;moyencourt les poix;Moyencourt-lès-Poix;80290;2.03333;49.7833
